county,progress_ten_days_confirmed,latest_value_confirmed,progress_ten_days_deaths,latest_value_deaths
ΑΓΙΟ ΟΡΟΣ,0.0,0.0,0.0,0.0
ΑΘΗΝΩΝ,0.0,965.0,10.0,32.0
ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,0.0,0.0,0.0,0.0
ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,0.0,57.0,0.0,0.0
ΕΛΛΑΔΑ,255.0,693.0,4.0,28.0
ΑΡΓΟΛΙΔΑΣ,0.0,2.0,0.0,0.0
ΑΡΚΑΔΙΑΣ,0.0,3.0,0.0,0.0
ΑΡΤΑΣ,0.0,3.0,0.0,0.0
ΑΧΑΪΑΣ,0.0,19.0,0.0,3.0
ΒΟΙΩΤΙΑΣ,0.0,3.0,0.0,0.0
ΓΡΕΒΕΝΩΝ,0.0,0.0,0.0,0.0
ΔΡΑΜΑΣ,0.0,0.0,0.0,0.0
ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,0.0,5.0,2.0,2.0
ΔΩΔΕΚΑΝΗΣΩΝ,0.0,2.0,0.0,0.0
ΕΒΡΟΥ,0.0,11.0,1.0,4.0
ΕΥΡΥΤΑΝΙΑΣ,0.0,0.0,0.0,0.0
ΖΑΚΥΝΘΟΥ,0.0,5.0,0.0,1.0
ΗΛΕΙΑΣ,0.0,46.0,0.0,1.0
ΗΜΑΘΙΑΣ,0.0,3.0,0.0,0.0
ΗΡΑΚΛΕΙΟΥ,0.0,9.0,0.0,1.0
ΘΕΣΠΡΩΤΙΑΣ,0.0,0.0,0.0,0.0
ΘΕΣΣΑΛΟΝΙΚΗΣ,0.0,55.0,1.0,6.0
ΙΩΑΝΝΙΝΩΝ,0.0,3.0,0.0,0.0
ΚΑΒΑΛΑΣ,0.0,3.0,0.0,0.0
ΚΑΡΔΙΤΣΑΣ,0.0,0.0,0.0,0.0
ΚΑΣΤΟΡΙΑΣ,0.0,29.0,1.0,11.0
ΚΕΡΚΥΡΑΣ,0.0,0.0,0.0,1.0
ΚΕΦΑΛΛΟΝΙΑΣ,0.0,1.0,0.0,0.0
ΚΙΛΚΙΣ,0.0,4.0,0.0,0.0
ΚΟΖΑΝΗΣ,0.0,16.0,3.0,13.0
ΚΟΡΙΝΘΟΥ,0.0,0.0,0.0,0.0
ΚΥΚΛΑΔΩΝ,0.0,4.0,0.0,0.0
ΛΑΚΩΝΙΑΣ,0.0,1.0,0.0,0.0
ΛΑΡΙΣΑΣ,25.0,36.0,0.0,0.0
ΛΑΣΙΘΙΟΥ,0.0,1.0,0.0,0.0
ΛΕΣΒΟΥ,0.0,8.0,0.0,0.0
ΛΕΥΚΑΔΑΣ,0.0,1.0,0.0,0.0
ΜΑΓΝΗΣΙΑΣ,0.0,2.0,0.0,0.0
ΜΕΣΣΗΝΙΑΣ,0.0,7.0,0.0,0.0
ΞΑΝΘΗΣ,0.0,12.0,0.0,5.0
ΠΕΙΡΑΙΩΣ ΚΑΙ ΝΗΣΩΝ,0.0,56.0,0.0,0.0
ΠΕΛΛΑΣ,0.0,2.0,0.0,2.0
ΠΙΕΡΙΑΣ,0.0,6.0,0.0,0.0
ΠΡΕΒΕΖΑΣ,0.0,1.0,0.0,0.0
ΡΕΘΥΜΝΟΥ,0.0,1.0,0.0,0.0
ΡΟΔΟΠΗΣ,0.0,1.0,0.0,0.0
ΣΑΜΟΥ,0.0,1.0,0.0,0.0
ΣΕΡΡΩΝ,0.0,8.0,0.0,0.0
ΤΡΙΚΑΛΩΝ,0.0,1.0,0.0,0.0
ΦΘΙΩΤΙΔΑΣ,0.0,3.0,0.0,0.0
ΦΛΩΡΙΝΑΣ,0.0,1.0,0.0,0.0
ΦΩΚΙΔΑΣ,0.0,0.0,0.0,0.0
ΧΑΛΚΙΔΙΚΗΣ,0.0,0.0,0.0,0.0
ΧΑΝΙΩΝ,0.0,1.0,0.0,0.0
ΧΙΟΥ,0.0,0.0,0.0,0.0
ΕΥΒΟΙΑΣ,0.0,25.0,0.0,0.0
